Group,Item,Type,Open limit,Short limit
adj,a01-a03,res,20000000,5
adj,a02-a04,res,20000000,5
adj,a03-a05,res,20000000,5
adj,a04-a06,res,20000000,5
adj,a05-a07,res,20000000,5
adj,a06-a08,res,20000000,5
adj,a07-a09,res,20000000,5
adj,a08-a10,res,20000000,5
adj,a09-a11,res,20000000,5
adj,a10-a12,res,20000000,5
adj,a11-a13,res,20000000,5

adj,a12-a14,res,20000000,5
adj,a13-a15,res,20000000,5
adj,a14-a16,res,20000000,5
adj,a15-a17,res,20000000,5
adj,a16-a18,res,20000000,5
adj,a17-a19,res,20000000,5
adj,a18-a20,res,20000000,5
adj,a19-a21,res,20000000,5
adj,a20-a22,res,20000000,5
adj,a21-a23,res,20000000,5
adj,a22-a24,res,20000000,5
adj,a23-a25,res,20000000,5

adj,a24-a26,res,20000000,5
adj,a25-a27,res,20000000,5
adj,a26-a28,res,20000000,5
adj,a27-a29,res,20000000,5
adj,a28-a30,res,20000000,5
adj,a29-a31,res,20000000,5
adj,a30-a32,res,20000000,5
adj,a31-a33,res,20000000,5
adj,a32-a34,res,20000000,5
adj,a33-a37,res,20000000,5
adj,a34-a38,res,20000000,5

adj,a35-a01,res,20000000,5
adj,a36-a02,res,20000000,5
adj,a37-a41,res,20000000,5
adj,a38-a42,res,20000000,5
adj,a39-a35,res,20000000,5
adj,a40-a36,res,20000000,5

gnd,a01,vdrp,1000000,5
gnd,a02,vdrp,1000000,5
gnd,a03,cap,200,2000
gnd,a04,vdrp,1000000,5
gnd,a05,res_2,1000000,5
gnd,a06,vdrp,1000000,5
gnd,a08,vdrp,1000000,5
gnd,a10,vdrp,1000000,5
gnd,a11,vdrp,1000000,5

gnd,a13,vdrp,1000000,5
gnd,a14,vdrp,1000000,5
gnd,a15,cap,200,2000
gnd,a16,vdrp,1000000,5
gnd,a17,vdrp,1000000,5
gnd,a18,vdrp_2,1000000,5
gnd,a21,vdrp,1000000,5
gnd,a22,vdrp,1000000,5
gnd,a23,vdrp,1000000,5
gnd,a24,vdrp,1000000,5

gnd,a25,vdrp,1000000,5
gnd,a26,vdrp,1000000,5
gnd,a27,vdrp_2,1000000,5
gnd,a29,vdrp,1000000,5
gnd,a30,vdrp,1000000,5
gnd,a31,vdrp,1000000,5
gnd,a32,vdrp,1000000,5
gnd,a33,vdrp,1000000,5
gnd,a34,vdrp,1000000,5
gnd,a35,vdrp,1000000,5
gnd,a36,res_2,1000000,5
gnd,a37,vdrp,1000000,5
gnd,a38,vdrp,1000000,5
gnd,a39,ac_cap,1000000,5
gnd,a40,vdrp,200,2000

vbus,a01,res,1000000,5
vbus,a02,res,1000000,5
vbus,a03,res,1000000,5
vbus,a04,res,1000000,5
vbus,a05,res,1000000,5
vbus,a06,res,1000000,5
vbus,a07,res,1000000,5
vbus,a08,res,1000000,5
vbus,a09,res,1000000,5
vbus,a10,res,1000000,5
vbus,a11,res,1000000,5
vbus,a12,res,1000000,5
vbus,a13,res,1000000,5
vbus,a14,res,1000000,5
vbus,a15,res,1000000,5
vbus,a16,res,1000000,5
vbus,a17,res,1000000,5
vbus,a18,res,1000000,5
vbus,a19,res,1000000,5
vbus,a20,res,1000000,5
vbus,a21,res,1000000,5
vbus,a22,res,1000000,5
vbus,a23,res,1000000,5
vbus,a24,res,1000000,5
vbus,a25,res,1000000,5
vbus,a26,res,1000000,5
vbus,a27,res,1000000,5
vbus,a28,res,1000000,5
vbus,a29,res,1000000,5
vbus,a30,res,1000000,5
vbus,a31,res,1000000,5
vbus,a32,res,1000000,5
vbus,a33,res,1000000,5
vbus,a34,res,1000000,5
vbus,a35,res,1000000,5
vbus,a36,res,1000000,5
vbus,a37,res,1000000,5
vbus,a38,res,1000000,5
vbus,a41,res,1000000,5
vbus,a42,res,1000000,5

