TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL,FAIL_COUNT

Fixture_Setup,Channel,CHANNEL_ID,get the fixture channel id,dut.channel,10000,,,,1,4,,,
Fixture_Setup,Fixture_Reset,Fixture_Reset,reset the fixture to default setting,reset.reset,20000,,,,,,,,
Fixture_Setup,Fixture_FW,Xavier_FW_CHECK,check zynq fw,fixture.zynq_fw_check,10000,,<<Xavier_FW_Version>>,,5.02.24,5.02.24,,,
Fixture_Setup,UUT_CHECK,UUT_DETECT,detect the DUT place into channel or not,dut.dut_check,30000,,,,,,,,

System,Reset_Current,PPVBUS_USB_CONN_DISCHARGE_CONNECT,,relay.relay,10000,PPVBUS_USB_CONN_DISCHARGE,CONNECT,,,,,,
System,Reset_Current,PPBATT_VCC_DISCHARGE_CONNECT,,relay.relay,10000,PPBATT_VCC_DISCHARGE,CONNECT,,,,,,
System,Reset_Current,PPVCC_MAIN_DISCHARGE_CONNECT,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,CONNECT,,,,,,
System,Reset_Current,PPVCC_HIGH_DISCHARGE_CONNECT,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,CONNECT,,,,,,
System,Reset_Current,SPK_BST_Discharge,connect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,CONNECT,,,,,,
System,Reset_Current,DELAY_1000MS_After_Connect_Discharge,delay 1000ms,delay.delay,10000,1000,,ms,,,,,
System,Reset_Current,PPVBUS_USB_CONN_DISCHARGE_DISCONNECT,,relay.relay,10000,PPVBUS_USB_CONN_DISCHARGE,DISCONNECT,,,,,,
System,Reset_Current,PPBATT_VCC_DISCHARGE_DISCONNECT,,relay.relay,10000,PPBATT_VCC_DISCHARGE,DISCONNECT,,,,,,
System,Reset_Current,PPVCC_MAIN_DISCHARGE_DISCONNECT,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,DISCONNECT,,,,,,
System,Reset_Current,PPVCC_HIGH_DISCHARGE_DISCONNECT,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,DISCONNECT,,,,,,
System,Reset_Current,SPK_BST_Discharge_Disable,disconnect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,DISCONNECT,,,,,,


System,Reset_Current,5V0_To_VDM_EXT,provide 5V to VDM board PP_EXT,fixture.sendcmd,10000,change tx source voltage(1*5000*3500*PP_HVE),ACK,,,,,,
System,Reset_Current,BATT_POWER_ON,battery power on,relay.relay,10000,BATT_OUTPUT_CTL,ON,,,,,,
System,Reset_Current,DELAY_10MS_1,delay 10ms,delay.delay,10000,10,,ms,,,,,
System,Reset_Current,VBATT_SET_4V3,raising up the battery to 4.3v,powerboard.setbattvolt,10000,4.3,,,,,,,
System,Reset_Current,BATT_MODE_TO_SMALL,,relay.relay,10000,BATT_MODE_CTL,SMALL,,,,,,
System,Reset_Current,PPBATT_VCC_FB,measure_PPBATT_VCC_voltage_TP9344,dmm.dmm,10000,PPBATT_VCC,,mV,4200,4400,,,3
System,Reset_Current,BATT_RESET_CURRENT,reset current of battery,dmm.readsmallvolt,10000,BATT_CURRENT_SMALL,,mA,-3,10,,,3
System,Reset_Current,BATT_MODE_TO_BIG,,relay.relay,10000,BATT_MODE_CTL,BIG,,,,,,

System,Reset_Current,VBATT_SET_2V5,step_set_the_battery_from_4v3_to_2v5,powerboard.setbattvolt,10000,2.5,4.3-2.5-0.2,,,,,,
System,Reset_Current,ACE_USB_Conn_Mac,ACE_USB_TOP_CONN_P/N connected to mac mini,relay.relay,10000,ACE_USB_TOP_CONN,TO_USB_HUB,,,,,,
System,Reset_Current,ACE_SBU_Conn_SWD,ACE_SBU1/2_connected_to_xavier_SWD,relay.relay,10000,ACE_SBU_TO_ZYNQ_SWD,NOCROSS,,,,,,
System,Reset_Current,Power_To_VDM,VBUS_power_connected_to_VDM_PP_EXT,relay.relay,10000,PPVBUS_USB_PWR,TO_PP_EXT,,,,,,
System,Reset_Current,DELAY_10MS_2,delay 10ms,delay.delay,10000,10,,ms,,,,,
System,Reset_Current,USB_POWER_ON,USB_power_output_enable,relay.relay,10000,VBUS_OUTPUT_CTL,ON,,,,,,
System,Reset_Current,DELAY_10MS_3,delay_0ms,delay.delay,10000,10,,ms,,,,,
System,Reset_Current,PPVBUS_USB_Conn_VDM,PPVBUS_USB_CONN_connected_to_VDM_VBUS_power,relay.relay,10000,VDM_VBUS_TO_PPVBUS_USB_CONN,CONNECT,,,,,,
System,Reset_Current,VBUS_to_5V,USB_output_5V,powerboard.setusbmainvolt,10000,5,,,,,,,

System,Reset_Current,Start_Dock,Send_restart_dc_manager-pl_Command_to_31336,dut_dock_config.sendcmd,10000,restart_dc_manager-pl,,,,,,,
System,Reset_Current,DELAY_10mS,delay 10ms,delay.delay,20000,10,,ms,,,,,
System,Reset_Current,Dissable_DC,disable_dc for via 31336,dut_dock_config.sendcmd,50000,disable_dc,,,,,,,
System,Reset_Current,DELAY_100mS_1,delay 100ms,delay.delay,20000,100,,ms,,,,,
System,Reset_Current,Set_SWD_CLK,swd_clk_freq-5000000_for_via_31336,dut_dock_config.sendcmd,50000,swd_clk_freq-5000000,,,,,,,
System,Reset_Current,Set_SWD_Mode1,swd_mode-1_for_via_31336,dut_dock_config.sendcmd,50000,swd_mode-1,,,,,,,
System,Reset_Current,DELAY_100mS_2,delay 100ms,delay.delay,20000,100,,ms,,,,,
System,Reset_Current,Enable_DC,enable_dc_for_via_31336,dut_dock_config.sendcmd,50000,enable_dc,,,,,,,
System,Reset_Current,DELAY_1000mS_1,delay 1000ms,delay.delay,20000,1000,,ms,,,,,

System,Reset_Current,VDM_CC1_TO_ACE_CC1,VDM_CC1_connected_to_ACE_CC1,relay.relay,10000,VDM_CC1,TO_ACE_CC1,,,,,,
System,Reset_Current,DELAY_1000MS_1,delay_1000ms,delay.delay,10000,1000,,ms,,,,,

USBC,ACE_FWDL,ACE_SPI_To_ZYNQ,ACE SPI flash connected to xavier,relay.relay,10000,ACE_SPI_TO_ZYNQ,CONNECT,,,,,,
USBC,ACE_FWDL,DELAY_100MS,delay 100ms,delay.delay,10000,100,,ms,,,,,
